latitude,longitude,timestamp,unit
40.65531,-74.18951,2023-12-10T08:32:08Z,2000
40.65558,-74.18916,2023-12-10T08:32:11Z,2000
40.65585,-74.18884,2023-12-10T08:32:13Z,2000
40.65613,-74.18854,2023-12-10T08:32:16Z,2000
40.65644,-74.18822,2023-12-10T08:32:18Z,2000
40.6567,-74.18796,2023-12-10T08:32:20Z,2000
40.65688,-74.1878,2023-12-10T08:32:22Z,2000
40.65707,-74.18763,2023-12-10T08:32:23Z,2000
40.65726,-74.18746,2023-12-10T08:32:25Z,2000
40.65744,-74.18731,2023-12-10T08:32:26Z,2000
40.65766,-74.18714,2023-12-10T08:32:28Z,2000
40.65788,-74.18697,2023-12-10T08:32:30Z,2000
40.65839,-74.18661,2023-12-10T08:32:34Z,2000
40.65946,-74.18587,2023-12-10T08:32:42Z,2000
40.66043,-74.18519,2023-12-10T08:32:49Z,2000
40.66089,-74.18486,2023-12-10T08:32:53Z,2000
40.66089,-74.18486,2023-12-10T08:32:53Z,2000
40.66191,-74.18397,2023-12-10T08:33:01Z,2000
40.66292,-74.18309,2023-12-10T08:33:09Z,2000
40.66341,-74.18266,2023-12-10T08:33:13Z,2000
40.66369,-74.18242,2023-12-10T08:33:15Z,2000
40.66428,-74.18196,2023-12-10T08:33:20Z,2000
40.66453,-74.18168,2023-12-10T08:33:22Z,2000
40.66466,-74.18151,2023-12-10T08:33:23Z,2000
40.66491,-74.18111,2023-12-10T08:33:26Z,2000
40.665,-74.18099,2023-12-10T08:33:26Z,2000
40.6651,-74.18089,2023-12-10T08:33:27Z,2000
40.66519,-74.1808,2023-12-10T08:33:28Z,2000
40.66533,-74.1807,2023-12-10T08:33:29Z,2000
40.66544,-74.18064,2023-12-10T08:33:30Z,2000
40.66556,-74.18058,2023-12-10T08:33:31Z,2000
40.66569,-74.18055,2023-12-10T08:33:32Z,2000
40.66581,-74.18056,2023-12-10T08:33:32Z,2000
40.66595,-74.18059,2023-12-10T08:33:33Z,2000
40.66609,-74.18066,2023-12-10T08:33:34Z,2000
40.66621,-74.18076,2023-12-10T08:33:35Z,2000
40.66631,-74.18089,2023-12-10T08:33:36Z,2000
40.66641,-74.18105,2023-12-10T08:33:37Z,2000
40.66651,-74.18123,2023-12-10T08:33:38Z,2000
40.6668,-74.1818,2023-12-10T08:33:42Z,2000
40.66711,-74.18233,2023-12-10T08:33:45Z,2000
40.66721,-74.18249,2023-12-10T08:33:46Z,2000
40.66732,-74.18263,2023-12-10T08:33:47Z,2000
40.66739,-74.18271,2023-12-10T08:33:48Z,2000
40.66746,-74.18279,2023-12-10T08:33:49Z,2000
40.66754,-74.18286,2023-12-10T08:33:49Z,2000
40.66761,-74.18293,2023-12-10T08:33:50Z,2000
40.66768,-74.18298,2023-12-10T08:33:50Z,2000
40.6677,-74.18299,2023-12-10T08:33:50Z,2000
40.66778,-74.18305,2023-12-10T08:33:51Z,2000
40.66788,-74.1831,2023-12-10T08:33:52Z,2000
40.66796,-74.18314,2023-12-10T08:33:52Z,2000
40.66858,-74.18337,2023-12-10T08:33:57Z,2000
40.66864,-74.18341,2023-12-10T08:33:57Z,2000
40.66904,-74.18363,2023-12-10T08:34:00Z,2000
40.66924,-74.18374,2023-12-10T08:34:01Z,2000
40.66961,-74.18395,2023-12-10T08:34:04Z,2000
40.66961,-74.18395,2023-12-10T08:34:04Z,2000
40.67047,-74.18448,2023-12-10T08:34:10Z,2000
40.67149,-74.18508,2023-12-10T08:34:18Z,2000
40.67174,-74.18523,2023-12-10T08:34:20Z,2000
40.67186,-74.18531,2023-12-10T08:34:21Z,2000
40.67198,-74.18539,2023-12-10T08:34:22Z,2000
40.6721,-74.18548,2023-12-10T08:34:22Z,2000
40.67222,-74.18557,2023-12-10T08:34:23Z,2000
40.67235,-74.18568,2023-12-10T08:34:24Z,2000
40.67245,-74.18577,2023-12-10T08:34:25Z,2000
40.67256,-74.18588,2023-12-10T08:34:26Z,2000
40.67267,-74.18599,2023-12-10T08:34:27Z,2000
40.67278,-74.1861,2023-12-10T08:34:28Z,2000
40.67288,-74.18622,2023-12-10T08:34:29Z,2000
40.67299,-74.18635,2023-12-10T08:34:30Z,2000
40.6731,-74.18648,2023-12-10T08:34:31Z,2000
40.6732,-74.18661,2023-12-10T08:34:32Z,2000
40.6733,-74.18674,2023-12-10T08:34:33Z,2000
40.67339,-74.18688,2023-12-10T08:34:34Z,2000
40.67348,-74.18702,2023-12-10T08:34:35Z,2000
40.67357,-74.18717,2023-12-10T08:34:36Z,2000
40.67366,-74.18732,2023-12-10T08:34:37Z,2000
40.67374,-74.18747,2023-12-10T08:34:37Z,2000
40.67382,-74.18761,2023-12-10T08:34:38Z,2000
40.67393,-74.1878,2023-12-10T08:34:40Z,2000
40.6745,-74.18882,2023-12-10T08:34:46Z,2000
